nohup: ignoring input
Step 1: Waiting for training to complete...
Wed Mar 18 08:50:01 IST 2026: Training 2/18
Wed Mar 18 08:55:05 IST 2026: Training 2/18
Wed Mar 18 09:00:11 IST 2026: Training 2/18
Wed Mar 18 09:05:11 IST 2026: Training 2/18
Wed Mar 18 09:10:11 IST 2026: Training 2/18
Wed Mar 18 09:15:11 IST 2026: Training 2/18
Wed Mar 18 09:20:11 IST 2026: Training 2/18
Wed Mar 18 09:25:11 IST 2026: Training 2/18
Wed Mar 18 09:30:11 IST 2026: Training 2/18
Wed Mar 18 09:36:40 IST 2026: Training 2/18
Wed Mar 18 09:43:14 IST 2026: Training 2/18
Wed Mar 18 09:48:36 IST 2026: Training 2/18
Wed Mar 18 10:00:11 IST 2026: Training 2/18
Wed Mar 18 10:07:51 IST 2026: Training 2/18
Wed Mar 18 10:12:51 IST 2026: Training 2/18
Wed Mar 18 10:17:51 IST 2026: Training 2/18
Wed Mar 18 10:22:51 IST 2026: Training 2/18
Wed Mar 18 10:28:23 IST 2026: Training 2/18
Wed Mar 18 10:33:23 IST 2026: Training 2/18
Wed Mar 18 10:38:23 IST 2026: Training 2/18
Wed Mar 18 10:43:23 IST 2026: Training 2/18
Wed Mar 18 10:48:29 IST 2026: Training 2/18
Wed Mar 18 10:53:29 IST 2026: Training 2/18
Wed Mar 18 11:01:30 IST 2026: Training 2/18
Wed Mar 18 11:09:41 IST 2026: Training 2/18
Wed Mar 18 11:14:41 IST 2026: Training 2/18
Wed Mar 18 11:19:41 IST 2026: Training 2/18
Wed Mar 18 11:24:41 IST 2026: Training 2/18
Wed Mar 18 11:29:42 IST 2026: Training 2/18
Wed Mar 18 11:34:42 IST 2026: Training 2/18
Wed Mar 18 11:39:42 IST 2026: Training 2/18
Wed Mar 18 11:44:43 IST 2026: Training 2/18
Wed Mar 18 11:49:43 IST 2026: Training 2/18
Wed Mar 18 11:54:43 IST 2026: Training 2/18
Wed Mar 18 11:59:43 IST 2026: Training 2/18
Wed Mar 18 12:04:43 IST 2026: Training 2/18
Wed Mar 18 12:09:43 IST 2026: Training 2/18
Wed Mar 18 12:14:43 IST 2026: Training 2/18
Wed Mar 18 12:19:43 IST 2026: Training 2/18
Wed Mar 18 12:24:43 IST 2026: Training 2/18
Wed Mar 18 12:29:43 IST 2026: Training 2/18
Wed Mar 18 12:34:43 IST 2026: Training 2/18
Wed Mar 18 12:39:43 IST 2026: Training 2/18
Wed Mar 18 12:44:43 IST 2026: Training 2/18
Wed Mar 18 12:49:44 IST 2026: Training 2/18
Wed Mar 18 12:54:44 IST 2026: Training 2/18
Wed Mar 18 12:59:44 IST 2026: Training 2/18
Wed Mar 18 13:04:44 IST 2026: Training 2/18
Wed Mar 18 13:09:44 IST 2026: Training 2/18
Wed Mar 18 13:14:44 IST 2026: Training 2/18
Wed Mar 18 13:19:48 IST 2026: Training 2/18
Wed Mar 18 13:24:53 IST 2026: Training 2/18
Wed Mar 18 13:29:53 IST 2026: Training 2/18
Wed Mar 18 13:38:32 IST 2026: Training 2/18
Wed Mar 18 13:43:32 IST 2026: Training 2/18
Wed Mar 18 13:48:32 IST 2026: Training 2/18
Wed Mar 18 13:53:32 IST 2026: Training 2/18
Wed Mar 18 13:58:33 IST 2026: Training 2/18
Wed Mar 18 14:04:25 IST 2026: Training 2/18
Wed Mar 18 14:09:25 IST 2026: Training 2/18
Wed Mar 18 14:14:25 IST 2026: Training 2/18
Wed Mar 18 14:19:25 IST 2026: Training 2/18
Wed Mar 18 14:24:26 IST 2026: Training 2/18
Wed Mar 18 14:29:26 IST 2026: Training 2/18
Wed Mar 18 14:34:26 IST 2026: Training 2/18
Wed Mar 18 14:39:26 IST 2026: Training 2/18
Wed Mar 18 14:44:26 IST 2026: Training 2/18
Wed Mar 18 14:49:26 IST 2026: Training 2/18
